Word_count.txt:
359 428 535 1617 2848
texa 66 14 0 57 46
petroleum 177 0 1 53 56
acquir 12 0 1 706 59
oil 1428 39 20 119 161
and 1461 1536 1685 4216 3183
ga 209 0 1 115 120
properti 23 1 0 73 124
corp 102 18 8 1111 896
said 1506 1399 1872 4803 2773
it 947 534 1006 5143 2773
issu 35 45 83 189 132
mln 690 740 536 1512 7616
share 56 23 11 2177 1709
of 1896 2115 2656 6566 5098
restrict 15 10 27 33 5
common 6 6 17 493 213
stock 131 58 57 802 673
in 1729 1529 2169 3771 3742
exchang 29 55 491 317 105
for 701 1005 760 2304 1785
joint 9 12 17 66 24
ventur 13 0 3 96 30
locat 5 2 2 27 7
the 4099 4467 6642 9867 6307
oversea 10 5 20 28 23
were 251 233 238 338 277
from 498 442 454 823 1542
lt 215 1 18 2712 2912
north 43 24 1 41 51
american 35 18 25 336 163
canada 58 52 62 97 84
compani 271 31 24 1810 1315
ad 106 65 102 134 130
acquisit 9 1 0 605 131
first 74 50 78 263 499
step 10 11 33 34 5
toward 16 11 27 15 6
creat 9 10 19 34 14
an 303 282 294 888 417
explor 145 1 3 54 18
develop 86 27 54 100 114
enterpris 4 1 5 42 36
set 41 49 151 96 368
industri 174 56 138 359 288
aid 17 74 16 12 11
packag 11 13 26 26 7
feder 30 24 123 182 84
govern 141 134 202 148 40
will 384 326 374 1050 815
provid 23 39 72 148 41
a 1410 1127 1755 4351 3102
350 5 4 10 8 5
dlr 502 280 290 2071 4538
that 572 474 749 1127 514
includ 55 58 52 239 778
cash 24 51 22 366 179
incent 29 7 4 5 3
design 4 7 14 42 6
to 2257 2400 2946 5845 3529
cover 15 60 12 20 30
cost 58 76 21 50 264
energi 210 2 1 59 66
minist 140 33 122 26 1
marcel 2 1 0 1 0
mass 9 1 0 2 2
announc 38 42 43 260 102
program 27 222 11 41 38
inject 5 0 21 4 3
about 194 110 204 580 358
year 314 415 239 331 2627
into 57 53 77 205 76
could 92 115 143 199 74
lead 18 16 62 36 26
more 110 174 168 266 143
than 112 178 139 204 196
one 167 118 227 351 510
billion 164 82 462 218 1121
new 136 110 187 439 288
invest 47 15 51 387 238
told 96 75 136 186 117
news 41 19 31 52 43
confer 39 8 23 23 40
affect 15 43 32 8 52
drill 105 0 0 12 9
done 2 9 13 9 5
anywher 1 1 1 0 0
on 528 431 770 1185 1110
or 104 133 132 664 811
after 135 34 165 177 281
april 48 94 79 147 770
1 26 74 18 29 109
1987 69 127 38 89 571
report 199 206 114 153 496
is 452 475 585 1357 630
aim 9 12 27 26 19
at 452 457 757 842 551
small 19 13 29 30 24
medium 4 4 8 5 6
size 4 5 7 15 6
call 49 30 83 85 20
canadian 51 61 27 116 71
total 95 161 92 253 207
payment 24 112 44 77 112
ani 59 74 73 176 59
individu 6 7 4 15 10
can 47 45 87 86 42
claim 7 6 3 19 20
10 51 64 68 135 425
probabl 22 29 16 23 16
gener 47 45 34 225 164
