Word_dict.txt:
71204 70516 93829 190959 193044
the 4099 4467 6642 9867 6307
of 1896 2115 2656 6566 5098
to 2257 2400 2946 5845 3532
in 1729 1529 2169 3771 3742
said 1506 1399 1873 4803 2773
and 1461 1541 1685 4218 3184
a 1428 1128 1755 4372 3119
mln 692 743 536 1512 7616
it 939 517 993 5105 2766
vs 0 30 0 0 9198
dlr 540 281 293 2105 4550
for 701 1005 760 2304 1812
lt 215 1 18 2712 2912
ct 73 20 3 63 5683
net 28 11 23 80 4278
loss 21 20 17 70 4069
on 528 431 770 1185 1110
share 56 23 11 2211 1711
year 303 378 244 328 2570
from 498 442 454 823 1542
pct 392 337 631 1344 973
is 452 474 585 1357 629
that 572 473 747 1119 514
shr 0 0 0 24 3298
be 379 523 462 1201 647
by 457 377 537 1108 651
compani 255 30 24 1651 1128
at 452 457 757 843 551
will 384 326 374 1050 815
inc 60 23 21 1379 1264
with 326 304 491 1116 501
profit 24 14 18 104 2507
ha 255 289 345 1254 356
bank 82 5 1286 590 532
wa 440 300 520 749 440
he 439 263 627 603 425
oper 84 39 69 336 1693
an 303 282 294 888 417
u. 305 677 585 407 204
corp 97 18 11 1077 898
would 324 316 373 788 296
as 333 261 428 632 411
not 238 291 399 765 363
billion 164 82 462 218 1121
sale 51 135 51 612 1143
or 104 138 132 666 812
market 159 279 826 296 207
oil 1427 39 20 118 161
stock 131 58 57 809 676
which 199 173 232 680 381
rev 0 0 0 3 1638
qtr 4 0 0 1 1629
price 584 332 110 342 192
offer 39 175 65 1182 83
but 255 220 416 350 280
one 167 118 227 360 620
had 185 121 331 552 299
about 194 110 204 580 358
thi 205 301 389 247 300
have 206 275 295 451 201
last 261 227 243 267 354
also 167 127 203 495 351
are 195 261 279 381 227
were 251 233 238 338 277
note 21 27 85 110 1049
group 46 29 48 789 369
expect 111 112 229 266 542
two 104 128 164 317 477
includ 55 58 52 239 778
per 133 142 26 281 583
report 196 206 114 152 496
new 136 110 187 439 288
co 64 19 22 562 477
april 48 97 79 149 770
march 105 99 118 254 553
unit 98 56 80 621 249
rate 47 56 807 37 149
dollar 17 5 891 18 87
up 188 133 169 284 233
quarter 53 8 31 53 862
industri 165 55 138 360 288
they 152 184 300 297 73
product 323 192 25 233 231
trade 81 210 451 150 107
exchang 28 53 490 317 105
end 87 68 80 174 574
dividend 1 0 0 33 948
record 9 57 59 38 818
tonn 24 924 0 6 13
first 74 50 78 263 499
earn 17 4 11 95 818
may 68 161 89 210 414
been 139 156 187 294 149
increas 139 112 77 152 445
buy 29 84 114 605 43
more 110 174 168 266 143
ltd 43 2 12 428 373
agreement 53 93 188 461 55
other 97 93 147 333 177
than 112 178 139 204 196
interest 52 27 193 343 210
total 95 161 92 253 207
offici 174 216 244 130 29
after 135 34 165 177 281
plan 85 71 49 383 202
th 9 0 9 8 762
month 128 114 158 113 273
result 37 56 43 109 540
stg 16 21 464 77 203
acquir 12 0 1 706 59
sharehold 4 2 2 526 242
wheat 1 774 1 0 0
say 140 68 256 222 76
current 71 94 164 161 260
