word_probability.txt:
0.11492820618769692 0.11381772635710966 0.1514465291049016 0.3082211016992924 0.31158643665099944
the 0.0504901236392296 0.05549207610909633 0.06398019821051922 0.04910454371289666 0.031067157857410217
of 0.023360918181370375 0.026280490834119926 0.025590153040094772 0.032678307515463356 0.02511278343610252
to 0.02780651199448303 0.029820159968205077 0.028383207003823595 0.02909051099975617 0.017400169421406198
in 0.021304369242894437 0.019002434298772915 0.020899748625143263 0.018769997860260054 0.018434428005752446
said 0.018558199103492438 0.017387848377962145 0.01804890733802695 0.023905373732950503 0.01366206339512618
and 0.01800403920989114 0.01915147299915545 0.016238237871885504 0.020994332177210275 0.015686255195918125
a 0.01759765528791685 0.014022057727656615 0.016912423311406254 0.021760657646584625 0.015366127538858573
mln 0.008534062361460027 0.009240399423717025 0.005171965443180614 0.007528898929632413 0.03751403636650184
it 0.011575784444116053 0.006433503899845993 0.009573433241194657 0.02540816783523007 0.013627588108981304
vs 1.2314664302251121e-05 0.00038501664265487605 9.631220564582149e-06 4.976139411521753e-06 0.04530545103524359
dlr 0.006662233387517856 0.0035024094589895176 0.002831578845987152 0.010479749600664813 0.02241386103504659
for 0.008644894340180287 0.012494411048735655 0.007329358849647016 0.011470001343557641 0.008929099111522626
lt 0.0026599674892862422 2.4839783397088777e-05 0.00018299319072706083 0.013500266223458516 0.01434664407714584
ct 0.0009112851583665829 0.00026081772566943214 3.8524882258328595e-05 0.0003184729223373922 0.0279939323496385
net 0.00035712526476528247 0.00014903870038253267 0.0002311492935499716 0.000403067292333262 0.021074249916274306
loss 0.00027092261464952463 0.00026081772566943214 0.0001733619701624787 0.0003533058982180445 0.020044916372805893
on 0.006514457415890843 0.005365393213771176 0.007425671055292837 0.005901701342064799 0.0054717204152794465
share 0.0007019358652283139 0.00029807740076506534 0.0001155746467749858 0.011007220378286118 0.008431669982860858
year 0.0037436579478843405 0.004707138953748323 0.0023596490383226264 0.0016371498663906568 0.012662280096924805
from 0.006145017486823309 0.005502012022455164 0.004382205356884878 0.004100338875093925 0.007599338074506018
pct 0.004839663070784691 0.004197923394108003 0.006086931396815918 0.006692907508496758 0.004796989815015465
is 0.005578542928919758 0.005899448556808584 0.005643895250845139 0.006757597320846541 0.00310277575303875
that 0.007056302645189892 0.00588702866511004 0.007204152982307448 0.005573276140904364 0.0025363960520872323
shr 1.2314664302251121e-05 1.2419891698544389e-05 9.631220564582149e-06 0.00012440348528804383 0.016247709855991804
be 0.004679572434855426 0.00650802325003726 0.004459255121401535 0.005981319572649147 0.0031914264888398573
by 0.005640116250431013 0.004694719062049779 0.005181596663745196 0.005518538607377625 0.0032111266523512146
compani 0.003152554061376287 0.00038501664265487605 0.00024078051411455373 0.008220582307833936 0.005560371151080554
at 0.005578542928919758 0.00568831039793333 0.007300465187953269 0.00419986166332436 0.002718622564567286
will 0.0047411457563666815 0.004061304585424015 0.0036117077117183063 0.005229922521509362 0.004018833356316857
inc 0.0007511945224373184 0.00029807740076506534 0.00021188685242080728 0.0068670723879000195 0.006230176710466697
with 0.004026895226836117 0.0037880669680560386 0.004738560517774417 0.005558347722669798 0.0024723705206753216
profit 0.00030786660755627803 0.00018629837547816584 0.00018299319072706083 0.000522494638209784 0.01235200252162093
ha 0.003152554061376287 0.0036017685925778726 0.0033324023153454238 0.0062450549614598005 0.0017582395933886251
bank 0.001022117137086843 7.451935019126633e-05 0.012395380866617227 0.002940898392209356 0.0026250467878883394
wa 0.005430766957292744 0.003738387401261861 0.0050178659141473 0.003732104558641315 0.002171943027127125
he 0.005418452292990493 0.0032788514084157185 0.00604840651455759 0.0030055882045591387 0.002098067413959536
oper 0.0010467464656913452 0.0004967956679417755 0.0006741854395207504 0.0016769589816828308 0.008343019247059751
an 0.0037436579478843405 0.003514829350688062 0.002841210066551734 0.004423787936842839 0.0020586670869368216
u. 0.003768287276488843 0.008420686571613096 0.005643895250845139 0.002030264879900875 0.0010096333799570537
corp 0.0012068371016206098 0.00023597794227234338 0.0001155746467749858 0.00536427828562045 0.004427611749177518
would 0.004002265898231615 0.003937105668438572 0.003602076491153724 0.003926173995690663 0.001462737140718268
as 0.004113097876951874 0.00325401162501863 0.004131793622205742 0.00314989624749327 0.002029116841669786
not 0.002943204768238018 0.0036266083759749616 0.0038524882258328596 0.003811722789225663 0.0017927148795335002
billion 0.0020319196098714347 0.0010308510109791843 0.004459255121401535 0.001089774531123264 0.005525895864935679
sale 0.0006403625437170583 0.0016891052710020368 0.0005008234693582718 0.0030503734592628347 0.005634246764248143
or 0.0012930397517363678 0.00172636494609767 0.001280952335089426 0.0033190849874850095 0.00400405823368334
market 0.0019703462883601795 0.003477569675592429 0.007965019406909437 0.0014779134052219608 0.0010244085025905715
oil 0.0175853406236146 0.0004967956679417755 0.00020225563185622515 0.0005921605899710886 0.0007978566222099643
stock 0.0016255356878971479 0.000732773610214119 0.0005586107927457647 0.00403067292333262 0.003334252674297197
which 0.0024629328604502242 0.0021610611555467236 0.0022440743915476406 0.003388750939246314 0.0018813656153346073
rev 1.2314664302251121e-05 1.2419891698544389e-05 9.631220564582149e-06 1.9904557646087013e-05 0.008072141998778589
qtr 6.157332151125561e-05 1.2419891698544389e-05 9.631220564582149e-06 9.952278823043507e-06 0.008027816630878036
price 0.007204078616816906 0.004135823935615282 0.0010690654826686185 0.0017068158181519613 0.0009505328894229822
offer 0.0004925865720900449 0.002185900938943812 0.0006356605572624219 0.005886772923830234 0.00041370343373850005
but 0.003152554061376287 0.00274479606537831 0.004016218975430756 0.0017466249334441354 0.0013839364866728393
one 0.0020688636027781883 0.0014779671121267822 0.00219591828872473 0.001796386327559353 0.003058450385138197
had 0.0022905275602187083 0.0015152267872224155 0.0031975652274412736 0.0027518050945715294 0.0014775122633517857
about 0.0024013595389389686 0.0013786079785384272 0.0019744002157393407 0.0028911369980941385 0.0017680896751443038
thi 0.002536820846263731 0.0037508072929604056 0.003756176020187038 0.0012340825740573948 0.001482437304229625
have 0.002549135510565982 0.003427890108798251 0.002850841287116316 0.0022492150140078324 0.0009948582573235357
last 0.0032264420471897937 0.002831735307268121 0.0023500178177580447 0.0013336053622878298 0.0017483895116329464
also 0.0020688636027781883 0.0015897461374136817 0.0019647689951747586 0.0024681651481147896 0.0017336143889994287
are 0.0024136742032412196 0.00325401162501863 0.0026967417580830016 0.0019008852552013097 0.0011229093201473573
were 0.0031032954041672824 0.002906254657459387 0.0023018617149351338 0.0016869112605058744 0.0013691613640393215
note 0.00027092261464952463 0.00034775696755924286 0.0008282849685540648 0.0005523514746789146 0.00517129292173125
group 0.0005787892222058027 0.0003725967509563317 0.0004719298076645253 0.003931150135102185 0.0018222651248005358
expect 0.0013792424018521255 0.001403447761935516 0.0022151807298538945 0.0013286292228763081 0.0026742971966667323
two 0.0012930397517363678 0.0016021660291122262 0.0015891513931560546 0.0015824123328639175 0.0023541695396071785
includ 0.0006896212009260628 0.000732773610214119 0.0005104546899228539 0.0011942734587652207 0.003836606843836804
per 0.0016501650165016502 0.0017760445128918475 0.00026004295524371804 0.0014032713140491343 0.002876223872658143
report 0.0024259888675434707 0.0025709175815986883 0.0011075903649269473 0.0007613493299628283 0.002447745316286125
new 0.0016871090094084035 0.0013786079785384272 0.001810669466141444 0.0021895013410695714 0.0014233368136955537
co 0.0008004531796463228 0.00024839783397088776 0.00022151807298538944 0.002801566488686747 0.0023541695396071785
april 0.0006034185508103049 0.0012171493864573501 0.000770497645166572 0.000746420911728263 0.0037972065168140894
march 0.0013053544160386188 0.0012419891698544389 0.0011461152471852758 0.0012689155499380472 0.0027284726463229643
unit 0.0012191517659228609 0.0007079338268170302 0.0007801288657311541 0.0030951587139665306 0.0012312602194598215
rate 0.0005911038865080538 0.0007079338268170302 0.007782026216182377 0.00018909329763782662 0.0007387561316758929
dollar 0.00022166395744052016 7.451935019126633e-05 0.008591048743607277 9.454664881891331e-05 0.00043340359724985717
up 0.002327471553125462 0.001664265487604948 0.0016373074959789653 0.0014181997322836996 0.001152459565414393
quarter 0.0006649918723215606 0.0001117790252868995 0.00030819905806662876 0.0002687115282221747 0.004250310277575304
industri 0.002044234274173686 0.0006955139351184857 0.0013387396584769189 0.001796386327559353 0.0014233368136955537
they 0.0018841436382444215 0.0022976799642307117 0.002898997389939227 0.0014828895446334824 0.00036445302496010716
product 0.003989951233929363 0.002397039097819067 0.0002504117346791359 0.0011644166222960902 0.0011426094836587144
trade 0.0010098024727845918 0.002620597148392866 0.0043533116951911316 0.0007513970511397847 0.0005319044148066428
exchang 0.00035712526476528247 0.000670674151721397 0.0047289292972098355 0.0015824123328639175 0.0005220543330509643
end 0.0010836904585980985 0.0008569725271995628 0.0007801288657311541 0.0008708243970163068 0.0028318985047575897
dividend 2.4629328604502242e-05 1.2419891698544389e-05 9.631220564582149e-06 0.00016918873999173962 0.004673863793069483
record 0.00012314664302251122 0.0007203537185155746 0.000577873233874929 0.00019406943704934837 0.004033608478950375
tonn 0.00030786660755627803 0.01148839982115356 9.631220564582149e-06 3.483297588065227e-05 6.895057228975001e-05
first 0.0009235998226688341 0.0006334144766257638 0.0007608664246019898 0.0013137008046417429 0.002462520438919643
earn 0.00022166395744052016 6.209945849272194e-05 0.0001155746467749858 0.0004777093835060883 0.004033608478950375
may 0.0008497118368553273 0.002012022455164191 0.0008668098508123935 0.00104996541583109 0.002043891964303304
been 0.0017240530023151569 0.001949922996671469 0.001810669466141444 0.0014679611263989172 0.0007387561316758929
increas 0.0017240530023151569 0.001403447761935516 0.0007512352040374077 0.0007613493299628283 0.0021965682315163216
buy 0.0003694399290675336 0.001055690794376273 0.0011075903649269473 0.0030155404833821825 0.00021670179862492858
more 0.0013669277375498745 0.002173481047245268 0.0016276762754143833 0.0013286292228763081 0.0007092058864088572
ltd 0.0005418452292990493 3.725967509563317e-05 0.00012520586733956796 0.002134763807542832 0.001841965288311893
agreement 0.0006649918723215606 0.0011674698196631726 0.0018203006867060262 0.00229897640812305 0.00027580228915900003
other 0.0012068371016206098 0.0011674698196631726 0.001425420643558158 0.0016620305634482656 0.0008766572762553929
